Unnamed: 0,state,action,pos
,    OX O ,3,0.0
,   XOXOO ,2,0.0
,O XXOXOO ,1,0.0
,  O   XO ,5,5.737500000000001
, OO  XXO ,0,0.45
, O X O   ,7,3.960000000000001
, O X O XO,6,0.75
, O XOOXXO,0,2.0
,O O X    ,7,1.3125
,O O XO X ,8,1.5
,O O XOOXX,1,4.0
,    O X O,0,6.09
,XO  O X O,3,6.0
,O      OX,6,0.0
,O   O XOX,3,0.0
,O OXO XOX,5,0.0
, OXO  OX ,0,0.9
,XOXO  OXO,4,1.5
,O OX  O X,5,1.5
,O OX XOOX,4,4.0
,XOOOX  XO,6,0.0
,  O X O  ,0,12.495
, O  X   O,2,2.685
, OX XO  O,3,0.9
, OXXXOO O,7,2.5
,OO   X   ,7,0.0
,OO  OX X ,6,0.0
,O     XO ,5,1.53
,O  O XXO ,4,0.75
,O  OXXXOO,2,7.0
, X O X OO,2,0.0
,  OO    X,6,3.2175
,  OO OX X,7,19.0
,  OXOX  O,6,0.0
,  O  OX  ,8,57.855
,O O  OX X,7,14.0
,   X OO  ,0,0.81
,X  X OO O,1,0.0
,XOO      ,7,2.4975
,XOOO   X ,4,2.1
,  O    OX,1,2.0250000000000004
,OXO    OX,6,1.35
,OXO  OXOX,4,11.0
,O  X    O,1,0.5625
,OX X  O O,4,1.5
,OX XXOO O,7,8.0
,   OO X  ,8,1.935
,   OO XOX,5,5.1000000000000005
,O  OOXXOX,1,3.0
, OO     X,7,1.125
, OO   OXX,5,0.0
, X  OO   ,0,1.125
,XXO OO   ,8,0.0
,     OX O,7,0.0
,O    OXXO,4,1.5
,OO  XOXXO,3,0.0
,    X OO ,1,0.81
,OX  X OO ,2,0.0
, XO  O   ,3,0.9675
,OXOX OOX ,8,0.0
,   OXO   ,7,2.4975
,OX   O OX,3,1.8
,OX X OOOX,4,3.0
,O O     X,1,3.5550000000000006
,OXO   O X,7,0.0
,  X  OO  ,1,0.405
, XX  OOO ,3,0.0
,OXXX OOO ,4,0.0
,  O  O  X,7,2.25
, OO  O XX,4,3.0
, OOOXO XX,6,7.0
,  OO    X,4,12.405
,  OOX O X,0,11.0
,        O,7,9.602999999999996
,O   X O  ,2,1.62
,OOX X O  ,7,0.0
,OXO   XO ,4,5.850000000000001
,OXO X XOO,3,0.0
,  X    OO,5,0.5625
,O XO XXOO,4,5.0
,OXO  O X ,3,0.75
,OXOX OOX ,4,8.0
,  O  O  X,0,2.4375
,X O  O OX,1,0.75
,XXO  OOOX,3,0.0
,O  X   O ,6,0.9675
,O  X OXO ,8,0.0
,OO X OXOX,4,0.0
,O    OXXO,2,0.0
,O XO OXXO,1,0.0
,X   OO   ,3,0.5625
,XO XOO   ,7,2.25
,XOOXOO X ,6,8.0
,    X  OO,1,0.5625
, X  XO OO,6,0.75
, X OXOXOO,0,0.0
,  O OX   ,0,1.7775
,XOO OX   ,8,0.0
, X  OOXO ,8,0.45
,OX  OOXOX,3,4.0
,O  O    X,1,1.7775
,    XO  O,0,14.8275
,X   XOO O,1,0.75
,  OO X   ,4,1.935
,O OOXX   ,8,0.0
,O OOXX OX,1,0.0
, OX     O,7,0.81
, OX O  XO,3,0.45
, OXXOO XO,0,2.0
,   OX   O,1,12.5925
,OX OX   O,7,16.0
, X   O O ,2,0.5625
,OXX  O O ,4,0.75
,OXXOXO O ,6,3.0
,XO   O   ,3,0.405
,XO X OO  ,7,0.9
,XO X OOXO,2,3.5
,   O  O X,7,0.0
, O O  OXX,4,0.0
, O OXOOXX,2,0.0
,O  OX    ,6,7.0575
,O  OXOX  ,1,2.4
,OXOOXOX  ,8,2.0
,      O  ,2,11.27025
,O X   O  ,1,0.9675
,  O O X  ,7,17.497500000000002
, OO O XX ,5,4.950000000000001
, O OX    ,0,3.06
,XO OX O  ,2,0.45
,     OOX ,8,0.0
,    OOOXX,0,0.0
,OX     O ,3,0.405
,OX X  OO ,2,0.0
,    O O X,0,0.0
,X   OOO X,2,1.5
,XOX OOO X,7,0.0
,O     O X,2,0.9675
,O X  OO X,3,0.45
,OOXX OO X,4,1.5
,O   XO   ,7,0.5625
,OO  XO X ,6,1.5
,OO  XOXXO,2,8.0
,XO     O ,4,8.5275
,XO  XO O ,3,0.75
,XO XXO OO,6,10.0
